,,,,,
,ID,Value,Footprint,Quantity,Source
,"C25, C31",10uF,CP_Elec_5x5.4,2,Mouser: 598-106SML035M 
,"C8, C14, C42",100p,SMD-0603,3,
,"C4, C10, C12, C13, C15, C17, C19, C22, C32, C33, C34, C47, C50",1n,SMD-0603_c,13,
,"C21, C30, C38, C45",10p,SMD-0603_c,4,
,"C23, C29, C41, C48",15p,SMD-0603_c,4,
,"C2, C5, C35",82p,SMD-0603_c,3,
,"C6, C36, C37",510p,SMD-0603_c,3,
,"C20, C49, C51",1u,SMD-0603_c,3,
,"C24, C28, C43",1.8p,SMD-0603_c,3,
,"C1, C7",68p,SMD-0603_c,2,
,"C9, C11",150p,SMD-0603_c,2,
,"C16, C18",47p,SMD-0603_c,2,
,C3,560p,SMD-0603_c,1,
,C26,22p,SMD-0603_c,1,
,C27,DNF,SMD-0603_c,1,
,C39,62p,SMD-0603_c,1,
,C40,6.8p,SMD-0603_c,1,
,C44,18p,SMD-0603_c,1,
,C46,51p,SMD-0603_c,1,
,"R13, R15, R41, R42",390R,SMD-0603_r,4,
,"R11, R36, R40",1k,SMD-0603_r,3,
,"R9, R12",10k,SMD-0603_r,2,
,R8,0R,SMD-0603_r,1,
,R10,470R,SMD-0603_r,1,
,R37,47R,SMD-0603_r,1,
,R38,220k,SMD-0603_r,1,
,R43,10R,SMD-0603_r,1,
,"R1, R3",150R,SMD-0805,2,
,R2,38R,SMD-0805,1,
,"L1, L7, L15, L16",470nH,SMD-0805,4,Mouser: 994-0805HP-471XGRC
,"L2, L3, L5",270nH,SMD-0805,3,Mouser: 994-0805HP-271XGRB
,"L4, L8",1uH,SMD-0805,2,Mouser: 994-0805AF-102XJRB
,"L6, L9",220nH,SMD-0805,2,Mouser: 994-0805HP-221XGRC
,L18,180nH,SMD-0805,1,Mouser: 994-0805HP-181XGRB
,L22,150nH,SMD-0805,1,Mouser: 994-0805HP-151XGRB
,"L10, L11, L12, L17, L21",405nH,coilcraft_tunable_coil,5,Mouser: 994-146-09J08L 
,"D2, D8",1N4148W,D_SOD-123,2,Mouser: 621-1N4148W-F
,"D1, D3",BAP64,SOT23_3,2,Mouser: 771-BAP64-05-T/R
,U2,ADE-1H+,Mini-Circuits_CD542_LandPatternPL-052,1,Mouser: 139-ADE-1H 
,U5,74LVC1G04,SOT-353_SC-70-5_Handsoldering,1,Mouser: 621-74LVC1G04SE-7 
,"U1, U7",PGA-105,SOT-89-3_round,2,Mouser: 139-PGA-105
,"U3, U4",SPF5189Z,SOT-89-3_round,2,Mouser: 772-SPF5189Z
,U6,7805,TO-263-2,1,Mouser: 863-MC7805CD2TG 
,"Q6, Q7",SI2309,SOT-23,2,Mouser: 781-SI2309CDS-GE3
,Q5,BC807,SOT-23,1,Mouser: 583-BC807
,"J2, J3, J4, J5",Conn_Coaxial-Connector,BNCEDGE,4,DNF
,J10,RCJ-041,PhonoRcaRCJ-04x,1,MOUSER: 490-RCJ-041 
,J6,Conn_01x20,PinSocket_1x20_P2.54mm_Vertical,1,
,J1,Conn_Coaxial-Connector,U.FL_Hirose_U.FL-R-SMT-1_Vertical,1,Mouser: 712-CONUFL001-SMD-T
,P1,CONN_01X03,PinSocket_1x03_P2.54mm_Vertical,1,
